127.0.0.1 - - [03/Dec/2016:19:52:34 +0900] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:52:36 +0900] "GET /RecommedationMovie/TEST.jsp HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:52:36 +0900] "GET /RecommedationMovie/... HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:55:01 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:55:02 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:55:02 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 200 123255
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:55:05 +0900] "GET /RecommedationMovie/Login.jsp?STATUS= HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:55:09 +0900] "GET /RecommedationMovie/LoginCheck.jsp?ID=asd&PASSWORD=asd HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:55:09 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:55:10 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:55:10 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:55:13 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:55:14 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 7150
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:55:22 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:55:23 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:55:23 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:55:34 +0900] "GET /RecommedationMovie/2.jpg HTTP/1.1" 200 366513
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:55:39 +0900] "GET /RecommedationMovie/3.jpg HTTP/1.1" 200 118415
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:55:44 +0900] "GET /RecommedationMovie/4.jpg HTTP/1.1" 200 280094
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:57:44 +0900] "GET /RecommedationMovie/TEST.jsp HTTP/1.1" 200 5799
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:57:44 +0900] "GET /RecommedationMovie/... HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:57:46 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:57:47 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:57:47 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:57:48 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Dec/2016:19:57:48 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 6601
