0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:21:11 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:21:11 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 6531
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:21:21 +0900] "GET /RecommedationMovie/getFriendsMovie.jsp?Friend= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:21:21 +0900] "GET /RecommedationMovie/FriendsList.jsp?page=0 HTTP/1.1" 200 5440
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:01 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:02 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:02 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:04 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:04 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 6531
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:07 +0900] "GET /RecommedationMovie/getSeenMovies.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:07 +0900] "GET /RecommedationMovie/SeenMovieList.jsp?page=0 HTTP/1.1" 200 2592
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:08 +0900] "GET /RecommedationMovie/getFriendsMovie.jsp?Friend= HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:09 +0900] "GET /RecommedationMovie/FriendsList.jsp?page=0 HTTP/1.1" 200 5612
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:23 +0900] "GET /RecommedationMovie/InformationView.jsp HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:24 +0900] "GET /RecommedationMovie/Logout.jsp HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:24 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:25 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:25 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:27 +0900] "GET /RecommedationMovie/Login.jsp?STATUS= HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:31 +0900] "GET /RecommedationMovie/LoginCheck.jsp?ID=asd&PASSWORD=asd HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:31 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:25:32 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
